###############

CII-IR relation for redshift z=6 galaxies

Col 1 - Galid
Col 2 - log10(L_CII/L_sun)
Col 3 - log10(L_IR/L_sun)

###############

- MassiveFIRE -

0 8.31813 11.6892
1 5.14482 8.72573
2 8.05706 11.422
3 9.29442 13.3316
10 8.74889 12.266

- FIREBox -

0 7.97137 11.4094
1 7.60878 11.223
2 7.18101 10.4862
3 6.65823 10.0164
4 7.80677 11.3299
5 7.29482 10.4564
6 6.9775 9.87807
7 7.118 10.4587
8 6.57123 9.61158
9 6.58741 9.51038
10 6.41931 9.7866
11 7.0515 10.1896
12 6.92084 10.23
13 6.82565 10.1643
14 6.9413 10.0444
15 6.94508 10.1938
16 6.86557 10.0471
17 6.71824 9.58997
18 7.38329 10.6917
19 6.9006 10.2705
20 6.83329 10.3311
21 6.83211 10.0893
22 5.9432 8.87042
23 6.35645 9.53304
24 6.51751 9.4047
25 6.98095 10.592
27 5.88359 8.8064
28 6.6876 9.58924
29 6.70127 10.302
30 6.55411 9.41822
37 6.33744 9.52168
42 5.95317 8.99246
48 5.13969 9.09472
58 6.77594 9.38182
71 5.89863 9.14573
76 7.09121 10.2002
83 6.29097 9.73914
88 6.05675 9.31136
95 5.88483 8.91422
100 6.60349 9.3886
111 6.04961 8.79071
121 6.08347 9.10377
127 6.07412 9.51919
132 6.39921 8.72434
138 6.02796 8.82698
143 6.29853 9.86081
155 5.66206 10.5695
160 2.14016 8.82837
171 6.28443 9.38546
176 6.42083 9.85182
180 6.0089 9.01673
278 5.80415 10.0337
375 4.91875 9.75392
